,part,oil,sensitive,pigmentation,wrinkle,hydration,file_name,class1,class2,class3,class1_area,class2_area,class3_area,total,total_area
44,3,-2,1,-2,2,2,00044NBC.jpg,0,0,0,0,0,0,0,0
45,3,-2,1,-2,3,1,00045NBC.jpg,0,0,0,0,0,0,0,0
46,2,2,1,1,3,-2,00046NBC.jpg,0,0,0,0,0,0,0,0
47,2,1,1,1,3,-2,00047NBC.jpg,0,0,0,0,0,0,0,0
48,0,2,1,1,-2,-2,00048NBC.jpg,0,0,0,0,0,0,0,0
49,0,1,1,1,-2,-2,00049NBC.jpg,0,0,0,0,0,0,0,0
50,1,2,1,-2,4,-2,00050NBC.jpg,1,0,1,528,0,288,3,1584
51,1,1,0,-2,4,-2,00051NBC.jpg,1,0,0,289,0,0,3,867
52,0,1,1,1,-2,-2,00052NBC.jpg,0,0,0,0,0,0,0,0
53,0,1,1,1,-2,-2,00053NBC.jpg,0,0,0,0,0,0,0,0
54,3,-2,1,-2,2,2,00054NBC.jpg,0,0,0,0,0,0,0,0
55,3,-2,1,-2,2,1,00055NBC.jpg,0,0,0,0,0,0,0,0
56,2,2,1,1,3,-2,00056NBC.jpg,0,0,0,0,0,0,0,0
57,2,1,1,1,3,-2,00057NBC.jpg,0,0,0,0,0,0,0,0
58,0,2,1,1,-2,-2,00058NBC.jpg,0,0,0,0,0,0,0,0
59,0,1,1,1,-2,-2,00059NBC.jpg,0,0,0,0,0,0,0,0
60,1,1,1,-2,0,-2,00060NBC.jpg,0,0,5,0,0,1279,0,0
61,1,1,1,-2,0,-2,00061NBC.jpg,0,1,3,0,806,519,0,0
62,0,0,0,0,-2,-2,00062NBC.jpg,0,0,2,0,0,610,0,0
63,0,1,1,0,-2,-2,00063NBC.jpg,0,0,5,0,0,1809,0,0
64,3,-2,0,-2,0,2,00064NBC.jpg,0,0,1,0,0,238,0,0
65,3,-2,0,-2,0,3,00065NBC.jpg,0,0,1,0,0,240,0,0
66,2,1,1,0,0,-2,00066NBC.jpg,0,0,4,0,0,730,0,0
67,2,1,1,0,1,-2,00067NBC.jpg,0,0,6,0,0,979,0,0
68,0,1,1,1,-2,-2,00068NBC.jpg,0,0,3,0,0,819,0,0
69,0,1,1,1,-2,-2,00069NBC.jpg,0,0,4,0,0,1045,0,0
70,1,1,1,-2,0,-2,00070NBC.jpg,0,0,7,0,0,1908,0,0
71,1,1,1,-2,0,-2,00071NBC.jpg,0,1,4,0,702,1057,0,0
72,0,0,0,0,-2,-2,00072NBC.jpg,0,0,3,0,0,1261,0,0
73,0,1,1,0,-2,-2,00073NBC.jpg,0,0,4,0,0,1469,0,0
74,3,-2,0,-2,0,2,00074NBC.jpg,0,0,0,0,0,0,0,0
75,3,-2,0,-2,0,3,00075NBC.jpg,0,0,0,0,0,0,0,0
76,2,1,1,0,0,-2,00076NBC.jpg,0,0,3,0,0,738,0,0
77,2,1,1,0,1,-2,00077NBC.jpg,0,0,3,0,0,580,0,0
78,0,1,1,1,-2,-2,00078NBC.jpg,0,0,0,0,0,0,0,0
79,0,1,1,1,-2,-2,00079NBC.jpg,0,0,1,0,0,378,0,0
80,1,1,0,-2,2,-2,00080NBC.jpg,0,0,1,0,0,289,0,0
81,1,2,1,-2,2,-2,00081NBC.jpg,0,0,0,0,0,0,0,0
82,0,1,1,2,-2,-2,00082NBC.jpg,0,0,1,0,0,240,0,0
83,0,1,1,2,-2,-2,00083NBC.jpg,0,0,0,0,0,0,0,0
84,3,-2,1,-2,1,1,00084NBC.jpg,0,0,1,0,0,240,0,0
85,3,-2,1,-2,1,1,00085NBC.jpg,0,0,0,0,0,0,0,0
86,2,1,1,1,1,-2,00086NBC.jpg,3,0,1,3368,0,121,9,10104
87,2,1,1,1,1,-2,00087NBC.jpg,1,0,1,1677,0,156,3,5031
88,0,1,1,1,-2,-2,00088NBC.jpg,1,0,1,1470,0,342,3,4410
89,0,1,1,1,-2,-2,00089NBC.jpg,1,0,1,1628,0,400,3,4884
90,1,1,0,-2,2,-2,00090NBC.jpg,0,0,0,0,0,0,0,0
91,1,2,1,-2,2,-2,00091NBC.jpg,0,0,0,0,0,0,0,0
92,0,1,1,2,-2,-2,00092NBC.jpg,0,0,1,0,0,323,0,0
93,0,1,1,2,-2,-2,00093NBC.jpg,0,0,0,0,0,0,0,0
94,3,-2,1,-2,1,1,00094NBC.jpg,0,0,1,0,0,240,0,0
95,3,-2,1,-2,1,1,00095NBC.jpg,0,0,0,0,0,0,0,0
96,2,1,1,1,1,-2,00096NBC.jpg,3,0,1,5194,0,240,9,15582
97,2,1,1,1,1,-2,00097NBC.jpg,1,0,0,2209,0,0,3,6627
98,0,1,1,1,-2,-2,00098NBC.jpg,1,0,1,1558,0,462,3,4674
99,0,1,1,1,-2,-2,00099NBC.jpg,0,0,1,0,0,420,0,0
100,1,3,2,-2,0,-2,00100NBC.jpg,0,1,25,0,961,8521,0,0
101,1,3,3,-2,0,-2,00101NBC.jpg,0,3,42,0,3201,10662,0,0
102,0,1,2,1,-2,-2,00102NBC.jpg,0,1,27,0,870,9119,0,0
103,0,1,2,1,-2,-2,00103NBC.jpg,2,0,42,1845,0,11102,6,5535
104,3,-2,1,-2,0,1,00104NBC.jpg,1,1,2,1056,806,579,3,3168
105,3,-2,1,-2,0,1,00105NBC.jpg,3,0,2,1318,0,435,9,3954
106,2,1,2,1,1,-2,00106NBC.jpg,0,1,35,0,900,5836,0,0
107,2,2,2,1,1,-2,00107NBC.jpg,1,0,46,483,0,6378,3,1449
108,0,1,2,1,-2,-2,00108NBC.jpg,2,0,14,3646,0,3554,6,10938
109,0,1,2,1,-2,-2,00109NBC.jpg,1,0,57,806,0,11285,3,2418
110,1,3,2,-2,0,-2,00110NBC.jpg,0,1,56,0,840,11375,0,0
111,1,3,3,-2,0,-2,00111NBC.jpg,1,0,37,1406,0,8253,3,4218
112,0,1,1,1,-2,-2,00112NBC.jpg,0,1,14,0,2496,3179,0,0
113,0,1,1,1,-2,-2,00113NBC.jpg,2,0,23,2380,0,4763,6,7140
114,3,-2,1,-2,0,1,00114NBC.jpg,1,0,2,756,0,650,3,2268
115,3,-2,1,-2,0,1,00115NBC.jpg,1,0,0,992,0,0,3,2976
116,2,1,1,1,1,-2,00116NBC.jpg,0,0,28,0,0,4461,0,0
117,2,2,1,1,1,-2,00117NBC.jpg,1,0,34,930,0,4695,3,2790
118,0,1,1,1,-2,-2,00118NBC.jpg,2,0,7,3737,0,1760,6,11211
119,0,1,1,1,-2,-2,00119NBC.jpg,1,0,9,700,0,2470,3,2100
120,1,2,0,-2,2,-2,00120NBC.jpg,0,0,4,0,0,950,0,0
121,1,1,0,-2,1,-2,00121NBC.jpg,0,0,1,0,0,462,0,0
122,0,1,0,2,-2,-2,00122NBC.jpg,0,1,2,0,1020,597,0,0
123,0,1,0,2,-2,-2,00123NBC.jpg,1,0,1,1520,0,256,3,4560
124,3,-2,0,-2,2,2,00124NBC.jpg,0,0,0,0,0,0,0,0
125,3,-2,0,-2,2,2,00125NBC.jpg,0,0,0,0,0,0,0,0
126,2,1,1,1,2,-2,00126NBC.jpg,0,1,0,0,840,0,0,0
127,2,1,0,1,2,-2,00127NBC.jpg,1,0,0,992,0,0,3,2976
128,0,1,1,1,-2,-2,00128NBC.jpg,0,0,0,0,0,0,0,0
129,0,0,1,1,-2,-2,00129NBC.jpg,0,0,0,0,0,0,0,0
130,1,2,0,-2,1,-2,00130NBC.jpg,0,0,3,0,0,706,0,0
131,1,1,0,-2,0,-2,00131NBC.jpg,0,0,0,0,0,0,0,0
132,0,1,1,0,-2,-2,00132NBC.jpg,0,0,4,0,0,1256,0,0
133,0,0,1,0,-2,-2,00133NBC.jpg,0,0,0,0,0,0,0,0
134,3,-2,0,-2,2,2,00134NBC.jpg,0,0,0,0,0,0,0,0
135,3,-2,0,-2,2,2,00135NBC.jpg,0,0,0,0,0,0,0,0
136,2,1,1,1,2,-2,00136NBC.jpg,0,0,0,0,0,0,0,0
137,2,1,0,1,1,-2,00137NBC.jpg,0,0,0,0,0,0,0,0
138,0,1,0,1,-2,-2,00138NBC.jpg,0,0,1,0,0,342,0,0
139,0,0,0,1,-2,-2,00139NBC.jpg,0,0,0,0,0,0,0,0
140,1,2,3,-2,1,-2,00140NBC.jpg,2,2,11,2124,1968,3244,6,6372
141,1,1,1,-2,1,-2,00141NBC.jpg,1,0,5,462,0,1225,3,1386
142,0,3,2,1,-2,-2,00142NBC.jpg,1,4,5,899,4188,1361,3,2697
143,0,2,1,1,-2,-2,00143NBC.jpg,1,1,3,928,1444,767,3,2784
144,3,-2,1,-2,0,1,00144NBC.jpg,2,0,4,1245,0,691,6,3735
145,3,-2,0,-2,0,2,00145NBC.jpg,1,0,0,396,0,0,3,1188
146,2,2,1,2,1,-2,00146NBC.jpg,0,1,11,0,1254,2823,0,0
147,2,1,1,2,1,-2,00147NBC.jpg,2,0,0,1008,0,0,6,3024
148,0,3,1,1,-2,-2,00148NBC.jpg,0,1,11,0,1722,2732,0,0
149,0,2,1,1,-2,-2,00149NBC.jpg,2,0,13,1590,0,4811,6,4770
150,1,2,3,-2,1,-2,00150NBC.jpg,2,2,7,1664,2664,2861,6,4992
151,1,1,1,-2,1,-2,00151NBC.jpg,1,0,5,418,0,1002,3,1254
152,0,3,2,1,-2,-2,00152NBC.jpg,3,1,3,3862,992,1818,9,11586
153,0,2,1,1,-2,-2,00153NBC.jpg,2,1,1,2541,1722,289,6,7623
154,3,-2,1,-2,0,1,00154NBC.jpg,2,0,2,1452,0,392,6,4356
155,3,-2,0,-2,0,2,00155NBC.jpg,0,0,0,0,0,0,0,0
156,2,2,1,2,1,-2,00156NBC.jpg,0,1,4,0,1755,1274,0,0
157,2,1,1,2,1,-2,00157NBC.jpg,1,0,3,624,0,528,3,1872
158,0,3,1,1,-2,-2,00158NBC.jpg,1,2,10,1248,3201,4443,3,3744
159,0,2,1,1,-2,-2,00159NBC.jpg,1,0,10,900,0,3536,3,2700
160,1,4,0,-2,0,-2,00160NBC.jpg,0,0,3,0,0,1097,0,0
161,1,2,1,-2,0,-2,00161NBC.jpg,1,0,0,340,0,0,3,1020
162,0,2,1,1,-2,-2,00162NBC.jpg,1,0,1,1156,0,414,3,3468
163,0,2,1,1,-2,-2,00163NBC.jpg,1,0,0,1400,0,0,3,4200
164,3,-2,1,-2,2,4,00164NBC.jpg,1,0,0,572,0,0,3,1716
165,3,-2,1,-2,2,2,00165NBC.jpg,1,0,0,696,0,0,3,2088
166,2,3,1,1,2,-2,00166NBC.jpg,2,0,5,1160,0,1022,6,3480
167,2,2,1,1,2,-2,00167NBC.jpg,0,0,1,0,0,169,0,0
168,0,2,1,0,-2,-2,00168NBC.jpg,1,0,1,624,0,420,3,1872
169,0,2,1,1,-2,-2,00169NBC.jpg,2,0,0,1571,0,0,6,4713
170,1,3,0,-2,0,-2,00170NBC.jpg,0,0,0,0,0,0,0,0
171,1,2,0,-2,0,-2,00171NBC.jpg,1,0,1,340,0,224,3,1020
172,0,2,1,0,-2,-2,00172NBC.jpg,0,0,0,0,0,0,0,0
173,0,2,1,1,-2,-2,00173NBC.jpg,1,1,0,1800,270,0,3,5400
174,3,-2,0,-2,2,4,00174NBC.jpg,1,0,0,525,0,0,3,1575
175,3,-2,0,-2,2,2,00175NBC.jpg,0,0,0,0,0,0,0,0
176,2,2,1,1,2,-2,00176NBC.jpg,0,0,1,0,0,289,0,0
177,2,2,0,1,2,-2,00177NBC.jpg,0,0,0,0,0,0,0,0
178,0,1,1,1,-2,-2,00178NBC.jpg,2,0,0,4001,0,0,6,12003
179,0,2,1,1,-2,-2,00179NBC.jpg,1,0,0,1400,0,0,3,4200
180,1,-1,-1,-2,-1,-2,00180NBC.jpg,0,0,0,0,0,0,0,0
181,1,-1,-1,-2,-1,-2,00181NBC.jpg,0,0,1,0,0,169,0,0
182,0,2,2,1,-2,-2,00182NBC.jpg,1,0,11,4544,0,2704,3,13632
183,0,2,2,1,-2,-2,00183NBC.jpg,1,0,11,2726,0,3188,3,8178
184,3,-2,1,-2,0,3,00184NBC.jpg,0,2,7,0,1331,1203,0,0
185,3,-2,1,-2,0,3,00185NBC.jpg,0,1,4,0,812,636,0,0
186,2,2,1,1,1,-2,00186NBC.jpg,0,1,4,0,1216,1012,0,0
187,2,3,1,1,1,-2,00187NBC.jpg,0,0,4,0,0,1400,0,0
188,0,2,1,1,-2,-2,00188NBC.jpg,1,1,4,992,1190,1638,3,2976
189,0,2,1,1,-2,-2,00189NBC.jpg,1,0,6,928,0,2222,3,2784
190,1,-1,-1,-2,-1,-2,00190NBC.jpg,0,0,0,0,0,0,0,0
191,1,-1,-1,-2,-1,-2,00191NBC.jpg,0,0,0,0,0,0,0,0
192,0,2,0,0,-2,-2,00192NBC.jpg,1,0,2,1720,0,648,3,5160
193,0,2,1,0,-2,-2,00193NBC.jpg,1,0,2,1188,0,560,3,3564
194,3,-2,1,-2,0,3,00194NBC.jpg,1,0,2,864,0,404,3,2592
195,3,-2,1,-2,0,3,00195NBC.jpg,1,0,5,1292,0,1030,3,3876
196,2,2,1,0,1,-2,00196NBC.jpg,0,1,0,0,918,0,0,0
197,2,3,1,1,0,-2,00197NBC.jpg,0,0,4,0,0,1150,0,0
198,0,2,2,1,-2,-2,00198NBC.jpg,2,0,12,4434,0,4245,6,13302
199,0,2,2,0,-2,-2,00199NBC.jpg,2,0,5,6855,0,1492,6,20565
200,1,2,0,-2,2,-2,00200NBC.jpg,0,0,2,0,0,314,0,0
201,1,2,0,-2,2,-2,00201NBC.jpg,0,0,0,0,0,0,0,0
202,0,1,1,2,-2,-2,00202NBC.jpg,0,0,3,0,0,1584,0,0
203,0,2,1,2,-2,-2,00203NBC.jpg,0,0,5,0,0,1868,0,0
204,3,-2,0,-2,1,3,00204NBC.jpg,0,0,2,0,0,450,0,0
205,3,-2,0,-2,0,2,00205NBC.jpg,0,0,1,0,0,182,0,0
206,2,1,1,1,1,-2,00206NBC.jpg,1,0,1,529,0,324,3,1587
207,2,1,1,1,2,-2,00207NBC.jpg,1,0,0,418,0,0,3,1254
208,0,1,1,1,-2,-2,00208NBC.jpg,2,0,2,1056,0,666,6,3168
209,0,2,1,1,-2,-2,00209NBC.jpg,2,0,1,1235,0,240,6,3705
210,1,3,0,-2,1,-2,00210NBC.jpg,0,0,1,0,0,272,0,0
211,1,2,0,-2,2,-2,00211NBC.jpg,0,0,1,0,0,225,0,0
212,0,1,1,2,-2,-2,00212NBC.jpg,0,0,2,0,0,1196,0,0
213,0,2,1,2,-2,-2,00213NBC.jpg,1,0,1,1312,0,252,3,3936
214,3,-2,0,-2,0,4,00214NBC.jpg,0,0,0,0,0,0,0,0
215,3,-2,0,-2,0,3,00215NBC.jpg,0,0,0,0,0,0,0,0
216,2,1,1,1,1,-2,00216NBC.jpg,1,0,1,506,0,342,3,1518
217,2,1,1,1,2,-2,00217NBC.jpg,1,0,0,483,0,0,3,1449
218,0,1,1,1,-2,-2,00218NBC.jpg,2,0,5,1914,0,1631,6,5742
219,0,1,1,1,-2,-2,00219NBC.jpg,2,0,1,1637,0,360,6,4911
220,1,1,1,-2,1,-2,00220NBC.jpg,2,0,6,802,0,1288,6,2406
221,1,2,1,-2,1,-2,00221NBC.jpg,0,0,11,0,0,1823,0,0
222,0,2,0,0,-2,-2,00222NBC.jpg,0,0,1,0,0,195,0,0
223,0,1,1,1,-2,-2,00223NBC.jpg,1,0,4,1332,0,1290,3,3996
224,3,-2,0,-2,0,3,00224NBC.jpg,0,0,1,0,0,360,0,0
225,3,-2,1,-2,0,1,00225NBC.jpg,1,1,2,754,728,578,3,2262
226,2,2,1,0,2,-2,00226NBC.jpg,0,1,0,0,624,0,0,0
227,2,2,0,0,2,-2,00227NBC.jpg,1,0,2,837,0,378,3,2511
228,0,1,1,1,-2,-2,00228NBC.jpg,3,1,1,3151,600,270,9,9453
229,0,2,2,1,-2,-2,00229NBC.jpg,2,0,8,2926,0,2282,6,8778
230,1,1,1,-2,1,-2,00230NBC.jpg,2,0,7,1175,0,1653,6,3525
231,1,2,1,-2,1,-2,00231NBC.jpg,0,0,10,0,0,2088,0,0
232,0,1,0,2,-2,-2,00232NBC.jpg,0,0,1,0,0,289,0,0
233,0,2,1,1,-2,-2,00233NBC.jpg,1,0,6,992,0,1590,3,2976
234,3,-2,0,-2,0,3,00234NBC.jpg,0,0,2,0,0,288,0,0
235,3,-2,1,-2,0,2,00235NBC.jpg,1,0,0,1023,0,0,3,3069
236,2,2,1,0,2,-2,00236NBC.jpg,0,1,1,0,837,324,0,0
237,2,3,0,0,2,-2,00237NBC.jpg,0,0,2,0,0,391,0,0
238,0,1,0,0,-2,-2,00238NBC.jpg,0,0,1,0,0,342,0,0
239,0,2,0,1,-2,-2,00239NBC.jpg,0,0,5,0,0,1842,0,0
240,1,2,0,-2,0,-2,00240NBC.jpg,0,0,0,0,0,0,0,0
241,1,2,0,-2,0,-2,00241NBC.jpg,1,0,1,754,0,462,3,2262
242,0,1,0,2,-2,-2,00242NBC.jpg,1,0,0,864,0,0,3,2592
243,0,1,0,2,-2,-2,00243NBC.jpg,1,0,0,780,0,0,3,2340
244,3,-2,1,-2,1,2,00244NBC.jpg,4,0,0,3265,0,0,12,9795
245,3,-2,2,-2,1,3,00245NBC.jpg,2,0,1,2081,0,256,6,6243
246,2,2,0,3,1,-2,00246NBC.jpg,0,0,0,0,0,0,0,0
247,2,2,1,3,1,-2,00247NBC.jpg,0,0,0,0,0,0,0,0
248,0,2,2,2,-2,-2,00248NBC.jpg,4,0,1,4301,0,399,12,12903
249,0,2,1,2,-2,-2,00249NBC.jpg,1,0,0,960,0,0,3,2880
250,1,2,0,-2,0,-2,00250NBC.jpg,0,0,0,0,0,0,0,0
251,1,2,0,-2,0,-2,00251NBC.jpg,1,0,0,960,0,0,3,2880
252,0,1,0,2,-2,-2,00252NBC.jpg,1,0,0,858,0,0,3,2574
253,0,1,0,2,-2,-2,00253NBC.jpg,1,0,0,1287,0,0,3,3861
254,3,-2,1,-2,1,3,00254NBC.jpg,4,0,1,3473,0,210,12,10419
255,3,-2,2,-2,1,3,00255NBC.jpg,2,0,0,2466,0,0,6,7398
256,2,2,0,3,1,-2,00256NBC.jpg,0,0,0,0,0,0,0,0
257,2,2,1,3,1,-2,00257NBC.jpg,0,0,0,0,0,0,0,0
258,0,2,2,2,-2,-2,00258NBC.jpg,4,0,0,4479,0,0,12,13437
259,0,2,1,2,-2,-2,00259NBC.jpg,1,0,0,1155,0,0,3,3465
260,1,2,1,-2,0,-2,00260NBC.jpg,0,0,3,0,0,1080,0,0
261,1,2,1,-2,0,-2,00261NBC.jpg,0,0,2,0,0,640,0,0
262,0,3,0,1,-2,-2,00262NBC.jpg,0,0,0,0,0,0,0,0
263,0,3,1,1,-2,-2,00263NBC.jpg,2,0,2,1480,0,496,6,4440
264,3,-2,0,-2,0,3,00264NBC.jpg,0,0,0,0,0,0,0,0
265,3,-2,1,-2,1,2,00265NBC.jpg,1,0,1,380,0,224,3,1140
266,2,2,1,1,1,-2,00266NBC.jpg,0,0,3,0,0,510,0,0
267,2,3,1,1,1,-2,00267NBC.jpg,1,0,2,437,0,481,3,1311
268,0,3,0,1,-2,-2,00268NBC.jpg,0,0,4,0,0,981,0,0
269,0,2,1,1,-2,-2,00269NBC.jpg,0,0,3,0,0,799,0,0
270,1,2,1,-2,0,-2,00270NBC.jpg,0,0,2,0,0,668,0,0
271,1,2,1,-2,0,-2,00271NBC.jpg,0,0,3,0,0,902,0,0
272,0,3,0,1,-2,-2,00272NBC.jpg,0,0,3,0,0,1062,0,0
273,0,3,1,1,-2,-2,00273NBC.jpg,2,0,1,1380,0,483,6,4140
274,3,-2,0,-2,0,3,00274NBC.jpg,0,0,1,0,0,180,0,0
275,3,-2,1,-2,1,2,00275NBC.jpg,2,0,1,924,0,169,6,2772
276,2,2,1,1,1,-2,00276NBC.jpg,0,0,3,0,0,704,0,0
277,2,3,1,1,1,-2,00277NBC.jpg,1,0,2,528,0,527,3,1584
278,0,3,0,1,-2,-2,00278NBC.jpg,0,0,1,0,0,528,0,0
279,0,2,1,1,-2,-2,00279NBC.jpg,0,0,2,0,0,529,0,0
280,1,2,0,-2,2,-2,00280NBC.jpg,0,0,2,0,0,729,0,0
281,1,2,0,-2,1,-2,00281NBC.jpg,0,0,1,0,0,320,0,0
282,0,1,1,2,-2,-2,00282NBC.jpg,2,0,1,2016,0,210,6,6048
283,0,2,1,2,-2,-2,00283NBC.jpg,2,1,2,1775,1258,838,6,5325
284,3,-2,1,-2,2,2,00284NBC.jpg,2,0,0,1404,0,0,6,4212
285,3,-2,1,-2,2,1,00285NBC.jpg,2,3,0,1296,2697,0,6,3888
286,2,1,0,1,3,-2,00286NBC.jpg,0,0,1,0,0,195,0,0
287,2,2,0,1,2,-2,00287NBC.jpg,0,1,0,0,493,0,0,0
288,0,1,0,1,-2,-2,00288NBC.jpg,1,0,0,1152,0,0,3,3456
289,0,2,0,1,-2,-2,00289NBC.jpg,1,1,0,1140,1406,0,3,3420
290,1,2,0,-2,2,-2,00290NBC.jpg,0,0,1,0,0,289,0,0
291,1,2,0,-2,1,-2,00291NBC.jpg,0,0,1,0,0,210,0,0
292,0,1,0,1,-2,-2,00292NBC.jpg,1,0,0,1540,0,0,3,4620
293,0,2,0,1,-2,-2,00293NBC.jpg,2,1,0,2706,1260,0,6,8118
294,3,-2,1,-2,2,2,00294NBC.jpg,1,0,0,702,0,0,3,2106
295,3,-2,1,-2,2,1,00295NBC.jpg,2,0,0,1422,0,0,6,4266
296,2,1,0,1,3,-2,00296NBC.jpg,0,0,0,0,0,0,0,0
297,2,2,0,1,2,-2,00297NBC.jpg,0,1,0,0,651,0,0,0
298,0,1,1,2,-2,-2,00298NBC.jpg,2,0,0,2565,0,0,6,7695
299,0,2,1,2,-2,-2,00299NBC.jpg,2,1,0,2755,1296,0,6,8265
300,1,1,0,-2,1,-2,00300NBC.jpg,1,0,1,460,0,396,3,1380
301,1,3,0,-2,1,-2,00301NBC.jpg,0,0,0,0,0,0,0,0
302,0,1,1,1,-2,-2,00302NBC.jpg,0,1,2,0,1023,629,0,0
303,0,2,0,1,-2,-2,00303NBC.jpg,0,0,0,0,0,0,0,0
304,3,-2,1,-2,0,2,00304NBC.jpg,1,1,0,552,918,0,3,1656
305,3,-2,1,-2,0,2,00305NBC.jpg,2,0,0,974,0,0,6,2922
306,2,2,1,1,2,-2,00306NBC.jpg,0,1,1,0,841,196,0,0
307,2,2,0,2,2,-2,00307NBC.jpg,0,1,1,0,644,156,0,0
308,0,1,0,2,-2,-2,00308NBC.jpg,1,0,1,720,0,288,3,2160
309,0,2,0,2,-2,-2,00309NBC.jpg,1,1,1,754,1368,256,3,2262
310,1,1,0,-2,1,-2,00310NBC.jpg,0,0,0,0,0,0,0,0
311,1,3,0,-2,0,-2,00311NBC.jpg,0,0,0,0,0,0,0,0
312,0,1,1,1,-2,-2,00312NBC.jpg,0,1,0,0,870,0,0,0
313,0,2,0,1,-2,-2,00313NBC.jpg,0,0,1,0,0,255,0,0
314,3,-2,1,-2,0,2,00314NBC.jpg,0,1,0,0,576,0,0,0
315,3,-2,1,-2,0,2,00315NBC.jpg,1,0,0,550,0,0,3,1650
316,2,1,1,0,2,-2,00316NBC.jpg,0,1,1,0,624,204,0,0
317,2,2,0,2,2,-2,00317NBC.jpg,0,1,1,0,598,306,0,0
318,0,1,0,1,-2,-2,00318NBC.jpg,1,1,0,729,1008,0,3,2187
319,0,2,0,2,-2,-2,00319NBC.jpg,1,0,0,870,0,0,3,2610
320,1,3,1,-2,0,-2,00320NBC.jpg,1,0,1,650,0,504,3,1950
321,1,3,1,-2,0,-2,00321NBC.jpg,2,0,3,1320,0,1042,6,3960
322,0,1,0,3,-2,-2,00322NBC.jpg,1,1,1,870,1050,288,3,2610
323,0,2,0,3,-2,-2,00323NBC.jpg,0,0,0,0,0,0,0,0
